Competitor,Market,Category,Product,Positioning,Flagship,Green/NetZero Claim,Certification Verified,Delivery Proof,Scale Signal,Digital Posture,Threat Level,Evidence
KMV Spaces,Vijayawada / Tadepalli,Premium residential,"Villas, apartments, commercial","Net-zero, futuristic, design-led",KMV Vivaan,IGBC Net Zero + IGBC Platinum pre-cert,Yes,"Vivaan completed, occupied, 4.2/5 across 454 ratings","Founded 2016, 4 projects, 10-acre flagship","Fragmented (7+ identities), organic only, no verified paid media",N/A,VERIFIED
Aparna Constructions,Hyderabad + Amaravati,Premium residential,"Villas, apartments","Best gated communities","Aparna Amber Villas; Amaravati One",Generic eco-friendly,No,Extensive (60+ projects),"30 years, 60+ projects","Heavy, professional, high recall",HIGH - physically adjacent to TRAYA,VERIFIED
SRK Sree City,Vijayawada / Amaravati / Guntur,Plots + gated communities,"Plots, villas, apartments",Scale and land bank,"Sree City Kubera (60-acre, 462 plots)",None found,No,24 projects in 11 years,"~200 acres VJA + ~180 acres Amaravati","Active, volume-driven",HIGH - land bank and velocity leader,VERIFIED
IJM Property,Vijayawada / Guntur / Amaravati,Premium villas,Villas,International-grade,RTPDK Villas 26,Not confirmed,No,MNC parent track record,Backed by IJM Corporation (listed Malaysian major),Low visibility,MEDIUM - strongest institutional backing,VERIFIED
TAG Projects,Vijayawada + Hyderabad,Premium villas,Duplex villas,"Quality, transparency, lifestyle design",Belmont Villas,None found,No,Moderate,Regional developer,Moderate,MEDIUM - nearest like-for-like villa peer,VERIFIED
Bhavishya Developers,Vijayawada,Villa plots,Villa plots,Independent luxury,"Eshanyaraaga (108 plots, 7.28 acres)",None found,No,Local,Small local scale,Low,LOW,VERIFIED
My Home Group,Hyderabad,Premium residential,Apartments,Legacy trusted developer,"My Home Jewel; Kokapet/Tellapur ~40,000 Cr pipeline","Sustainability Leader award, no net-zero project",No,Extensive,"Founded 1981, 25-30 projects","Heavy, strong recall",MEDIUM - share of wallet for Hyderabad AP-origin buyers,VERIFIED
Rajapushpa Properties,Hyderabad (Kokapet/Tellapur/Narsingi),Premium residential,"Apartments, villas",New age of luxury,Kokapet/Neopolis corridor projects,"General green (EV charging, rainwater harvesting)",No,Strong,Mid-large regional,Active,MEDIUM,VERIFIED
Plotted land / open plots,Amaravati capital region,Land,Plots,Capital appreciation,N/A (category),N/A,N/A,N/A,"Prices doubled in 6 months post-relaunch","Broker-driven, portal-heavy",HIGH - unlisted competitor for the same rupee,INFERENCE
Brigade Group (reference only),Bengaluru,Premium residential,Apartments/villas,India's first Net Zero community,Brigade Citrine; Midsummer Rain,Direct net-zero claim,Claimed,Extensive,National developer,Professional,LOW - different market; claim-collision PR risk,VERIFIED
