Priority,Category,Gap,Current Observation,Evidence Type,Evidence,Business Impact,Recommended Action,Expected KPI,Effort,Time to Impact
P0,Brand,Certifications generating no demand,"Two IGBC certifications (India's first Net Zero Energy villa community; AP's first IGBC Platinum pre-cert) with no indexed blog and no visible PR programme",VERIFIED,kmvspaces.com; IGBC; search index,"Sole monopoly asset produces no measurable demand; price premium unjustified in market",Build certification-led content and PR engine with quantified running-cost data,Non-brand organic sessions; brand search volume,Medium,3-6 months
P0,Digital,Seven-plus fragmented brand identities,"3 Facebook pages; 2 Instagram handles (one dead with 481 followers and 0 posts); separate kmvvivaan.com microsite; dormant X",OBSERVED,Live profile screenshots; search index,"Splits audience, ad pixel data, review accumulation and search authority across identities",Consolidate to one identity per platform; migrate microsite with 301 redirects,Consolidated followers; unified pixel,Low,Immediate
P0,Analytics,Funnel unmeasured,"CRM status, speed-to-lead, cost per booking all unknown externally",Not publicly available,Day-one audit required,"Every budget decision is guesswork; 29x swing in required media spend between weak and strong funnel",Audit CRM; stand up single-source capture; closed-loop attribution,Bookings traceable to source,High,90 days
P0,Analytics,No paid media visibility or agency,No verifiable evidence of Google/Meta/YouTube advertising or agency partner,OBSERVED,Search; no ad library access,"Cannot assess efficiency or headroom; either untapped channel or unmeasured spend",Audit current spend and results in week 1,Cost per booking baseline,Low,Immediate
P0,SEO,Non-brand search invisibility,"Blog link exists in footer; no blog content indexed; brand search strong, non-brand absent",OBSERVED,Search index,"Zero top-of-funnel organic discovery in a market where competitor content is thin and authority is cheap",Publish SEO content clusters; schema markup; AI answer-engine optimisation,Non-brand organic sessions; keyword rankings,Medium,3-6 months
P0,Sales,Speed-to-lead unknown,Response time to enquiries not publicly measurable,Not publicly available,Day-one audit required,"5-minute response drives 4x site-visit conversion; likely largest single revenue gain available",Implement <5 min response process with automated acknowledgement,Median speed-to-lead,Low,Immediate
P0,Website,Conversion infrastructure unverified,"Page speed, form conversion, mobile UX, lead routing all unverifiable externally",Not publicly available,Day-one audit required,"Sub-2s pages cut CPL 20-35%; unrouted leads are direct revenue loss",Audit and rebuild dedicated landing pages per project,Landing page CVR; page load time,Medium,60 days
P1,Brand,Equity trapped at project level,"454 Justdial ratings for Vivaan vs 33 Google reviews for KMV Spaces; TRAYA launches as Makers of Vivaan",VERIFIED,Justdial; Google Business Profile; site screenshots,"Trust does not compound; every launch restarts credibility from near zero",Adopt endorsed brand architecture - KMV Spaces presents TRAYA,Company-level review count; brand search,Medium,6-12 months
P1,Channel partners,Distribution uncontrolled,Third-party broker published TRAYA pre-launch details before KMV's own channels with own phone number,OBSERVED,prakruth.in,"Loss of narrative control, pricing power and first-party lead capture at launch",Formalise partner programme with lead registration and pre-launch briefing,Bookings per active partner; own-channel primacy,Medium,90 days
P1,Content,YouTube library undistributed,"Corporate film, testimonials, lifestyle videos exist but channel has low search visibility",OBSERVED,YouTube channel,"Best-fit content format for high-ticket and NRI buyers not reaching them",Re-optimise titles/descriptions/thumbnails/playlists; embed on landing pages,Organic video views; video-assisted conversions,Low,30 days
P1,Reputation,Thin Google review base,33 Google reviews vs 454 Justdial ratings,VERIFIED,Google Business Profile; Justdial,"Weak local-search trust signal at the point of buyer due diligence",Structured review-generation programme with existing residents,Google review count,Low,90 days
P1,Performance,Proven campaign format not systematised,"Capture the Tallest Building photo contest (Jan 2024, Rs 10,000 prize) ran once on weakest channel",VERIFIED,x.com/Kmv_Spaces,"Repeatable low-cost local reach and UGC generation left unused",Systematise into quarterly contest programme across all channels,Reach; UGC volume; lead capture,Low,90 days
P1,CRM,Referral programme status unknown,"Several hundred delivered households rated 4.2/5; no public evidence of structured referral programme",Not publicly available,Day-one audit required,"Cheapest and highest-converting demand source in premium real estate potentially unused",Launch resident referral programme and private previews,Referral share of bookings,Low,60 days
P2,Brand,Founder press disconnected,"The Hindu interview on HEALTHWAY sustainable mobility not linked to KMV Spaces marketing",VERIFIED,The Hindu,"Free credibility on a theme that maps exactly onto product differentiation goes unused",Connect founder thought leadership to brand content programme,LinkedIn engagement; earned media,Low,6 months
P2,Segments,NRI targeting unmanaged,"USA toll-free number published; no NRI-specific content, campaign or process visible",OBSERVED,kmvspaces.com footer,"Either an untapped high-value segment or an unmanaged promise to callers",Build NRI infrastructure (video walkthroughs, documented process, named RM) or retire the line,NRI leads; NRI bookings,Medium,6 months
P2,Portfolio,Ready-to-move inventory under-marketed,"KMV Vivaan Apartments listed as Ready to Move with least distinct marketing attention",OBSERVED,kmvspaces.com projects page,"Finished capital not converted to cash; zero delivery risk makes it the easiest sale in the portfolio",Dedicated campaign and landing page for ready-to-move stock,Bookings; time to sell,Low,0-6 months
P2,Sales,Objection answers not systematised,"Recurring verified complaints: pricing, water quality (no RO), possession delay (~1.5 yrs)",VERIFIED,Justdial; Wanderlog reviews,"Same objections will face TRAYA sales team; unprepared responses lose deals",Build objection one-pagers; engineer answers into TRAYA spec and communicate,Reason-for-loss distribution,Low,60 days
